,title,date,url,pred
15,"Eating too much of these foods is driving the rise in type 2 diabetes, study says","Mon, 17 Apr 2023 16:02:46 GMT",https://www.cnn.com/2023/04/17/health/rise-type-2-diabetes-global-wellness/index.html,others
16,ADHD medication abuse in schools is a 'wake-up call',"Tue, 25 Apr 2023 17:44:36 GMT",https://www.cnn.com/2023/04/18/health/teen-misuse-adhd-meds-wellness/index.html,uplifting / positive
17,Apple CEO was presented with an original Macintosh. See his reaction,"Tue, 18 Apr 2023 09:17:25 GMT",https://www.cnn.com/videos/tech/2023/04/18/apple-store-mumbai-india-ceo-tim-cook-vedika-sud-ovn-biz-ldn-vpx.cnn,uplifting / positive
18,Democrats bash Justice Clarence Thomas but their plan to investigate ethics allegations is unclear,"Tue, 18 Apr 2023 20:29:46 GMT",https://www.cnn.com/2023/04/18/politics/clarence-thomas-ethics-democrats/index.html,politics
19,"Russia is 'going backwards' in equipment and deploying post WWII-era tanks, according to Western officials",,https://www.cnn.com/europe/live-news/russia-ukraine-war-news-04-18-23/index.html,others
20,Two Russians claiming to be former Wagner commanders admit killing children and civilians in Ukraine,"Tue, 18 Apr 2023 19:07:52 GMT",https://www.cnn.com/2023/04/17/europe/wagner-commanders-russia-kill-children-intl-hnk/index.html,terrorism / riot /violence
21,'My stomach is hurting from laughing': Hear panelist's reaction to DeSantis' threat to Disney,"Tue, 18 Apr 2023 03:24:56 GMT",https://www.cnn.com/videos/business/2023/04/18/desantis-disney-competition-panel-reax-pt-vpx.cnn,politics
22,GOP prepared to block vote to replace Feinstein on Senate Judiciary,"Tue, 18 Apr 2023 22:03:13 GMT",https://www.cnn.com/2023/04/18/politics/schumer-senate-feinstein-vote-cardin/index.html,politics
23,Oklahoma governor calls on officials to resign over recording of racist and threatening remarks,"Tue, 18 Apr 2023 17:33:17 GMT",https://www.cnn.com/2023/04/18/us/mccurtain-county-oklahoma-officials-recording/index.html,others
24,McCarthy slams Biden in handling of US debt,"Tue, 18 Apr 2023 22:03:01 GMT",https://www.cnn.com/videos/politics/2023/04/18/kevin-mccarthy-wall-street-speech-debt-ceiling-biden-economy-vpx.cnn,politics
25,US warns Russia not to touch American nuclear technology at Ukrainian nuclear plant,"Wed, 19 Apr 2023 08:35:33 GMT",https://www.cnn.com/2023/04/18/politics/us-warns-russia-zaporizhzhia-nuclear-plant/index.html,others
26,Repeated gunshots fired on live TV as ex-lawmaker shot by assassins,"Tue, 18 Apr 2023 09:41:42 GMT",https://www.cnn.com/videos/world/2023/04/18/india-ex-lawmaker-atiq-ahmed-assassination-sud-pkg-contd-ovn-intl-hnk-vpx.cnn,terrorism / riot /violence
27,FDA clears the way for additional bivalent boosters for certain vulnerable individuals,"Tue, 18 Apr 2023 15:09:15 GMT",https://www.cnn.com/2023/04/18/health/fda-bivalent-booster-additional-doses/index.html,uplifting / positive
28,Maine authorities detained a person of interest after 4 people were found dead in a home and 3 others shot while driving,"Wed, 19 Apr 2023 01:49:51 GMT",https://www.cnn.com/2023/04/18/us/maine-shooting-bowdoin-yarmouth/index.html,others
29,Southwest says flights resumed after delays caused by 'tech issues',"Tue, 18 Apr 2023 17:15:29 GMT",https://www.cnn.com/travel/article/southwest-airlines-flight-delays/index.html,others
30,Damar Hamlin cleared to resume football activities after January cardiac arrest,"Tue, 18 Apr 2023 22:11:37 GMT",https://www.cnn.com/2023/04/18/sport/damar-hamlin-cleared-to-train-nfl-spt-intl/index.html,uplifting / positive
31,Pilot makes history after landing on top of a 56-story hotel,"Sun, 19 Mar 2023 11:22:30 GMT",https://www.cnn.com/videos/travel/2023/03/17/pilot-lands-on-dubai-helipad-cprog-orig-aw-ao.cnn,uplifting / positive
32,Top US Navy admiral defends non-binary sailor amid some Republican criticism,"Tue, 18 Apr 2023 19:56:40 GMT",https://www.cnn.com/2023/04/18/politics/gilday-defends-non-binary-sailor/index.html,others
33,Fulton County DA says fake Trump electors are incriminating one another and wants lawyer disqualified,"Wed, 19 Apr 2023 15:31:24 GMT",https://www.cnn.com/2023/04/18/politics/fulton-county-trump-fake-electors/index.html,politics
34,High speed trains are racing across the world. But not in America,"Wed, 19 Apr 2023 02:39:40 GMT",https://www.cnn.com/travel/article/high-speed-rail-us/index.html,others
35,Podcast: One country musician is calling for other artists to oppose assault rifles,,https://www.cnn.com/audio/podcasts/the-assignment/episodes/42a2f0e2-066a-4675-82ff-afe2016a0bb5,others
36,Here's what you need to know if you haven't filed your return yet — and even if you have,"Tue, 18 Apr 2023 14:15:43 GMT",https://www.cnn.com/2023/04/18/success/tax-day-2023-file-irs/index.html,others
37,"Undocumented immigrants are paying their taxes today, too","Tue, 18 Apr 2023 18:29:24 GMT",https://www.cnn.com/2023/04/18/us/undocumented-immigrants-taxes-cec/index.html,others
38,Opinion: Why millionaires like us want to pay more in taxes,"Mon, 17 Apr 2023 19:32:49 GMT",https://www.cnn.com/2023/04/17/opinions/us-tax-system-wealthy-disney-pearl/index.html,others
39,'World's longest' purpose-built cycling tunnel opens in Norway,"Tue, 18 Apr 2023 10:44:27 GMT",https://www.cnn.com/travel/article/worlds-longest-cycling-tunnel/index.html,uplifting / positive
40,Artist rejects photo prize after AI-generated image wins award,"Tue, 18 Apr 2023 15:27:54 GMT",https://www.cnn.com/style/article/ai-photo-win-sony-scli-intl/index.html,others
41,These ships disappeared in Lake Superior a century ago. Watch as they're found again,"Tue, 18 Apr 2023 19:29:01 GMT",https://www.cnn.com/videos/travel/2023/04/18/century-old-shipwrecks-lake-superior-discovery-contd-orig-zt.cnn,others
42,Erotic images of seniors show sex and intimacy in new light,"Tue, 18 Apr 2023 03:24:57 GMT",https://www.cnn.com/style/article/marilyn-minter-artist-elder-sex/index.html,uplifting / positive
43,"China's economy is off to a solid start, rising 4.5% in Q1 2023","Tue, 18 Apr 2023 07:01:12 GMT",https://www.cnn.com/2023/04/17/economy/china-gdp-q1-2023-intl-hnk/index.html,uplifting / positive
44,"Even when wives make as much as husbands, they still do more at home","Sun, 16 Apr 2023 17:29:49 GMT",https://www.cnn.com/2023/04/16/success/husbands-wives-earning-division-of-labor-pew-survey/index.html,others
45,McDonald's is upgrading its burgers,"Mon, 17 Apr 2023 16:31:30 GMT",https://www.cnn.com/2023/04/17/business/mcdonalds-burgers/index.html,uplifting / positive
46,Google-parent stock drops on fears it could lose search market share to AI-powered rivals,"Mon, 17 Apr 2023 15:52:19 GMT",https://www.cnn.com/2023/04/17/tech/google-ai-search-engine-stock-drop/index.html,others
47,Bidets save you money and reduce waste — we tested the best options out there,,https://www.cnn.com/cnn-underscored/reviews/best-bidets?iid=CNNUnderscoredHPcontainer,uplifting / positive
48,50+ products to make your life easier and our planet cleaner,,https://www.cnn.com/cnn-underscored/home/editors-favorite-sustainable-products?iid=CNNUnderscoredHPcontainer,uplifting / positive
49,Mother's Day is around the corner. Here are 50+ thoughtful gifts she'll love,,https://www.cnn.com/cnn-underscored/gifts/best-mothers-day-gifts-2023?iid=CNNUnderscoredHPcontainer,uplifting / positive
50,"A head-to-toe guide of how men should dress this spring, and where they should shop",,https://www.cnn.com/cnn-underscored/fashion/mens-spring-fashion-style-guide?iid=CNNUnderscoredHPcontainer,uplifting / positive
51,42 of the most useful travel products you can buy on Amazon,,https://www.cnn.com/cnn-underscored/travel/amazon-travel-products?iid=CNNUnderscoredHPcontainer,others
52,The 7 best high-yield savings accounts of April 2023,,https://www.cnn.com/cnn-underscored/money/high-yield-savings-accounts?iid=CNNUnderscoredHPcontainer,uplifting / positive
53,Taxes are due tomorrow. Here's how to file for an extension,,https://www.cnn.com/cnn-underscored/money/how-to-file-taxes?iid=CNNUnderscoredHPcontainer,others
54,Composting is an easy way to reduce food waste. Here's how to do it,,https://www.cnn.com/cnn-underscored/home/how-to-compost-at-home?iid=CNNUnderscoredHPcontainer,uplifting / positive
55,We stopped using aluminum foil for cooking and you should too. Here's what to use instead,,https://www.cnn.com/cnn-underscored/reviews/mmmat-silicone-mats?iid=CNNUnderscoredHPcontainer,uplifting / positive
56,The beloved Dyson Supersonic hair dryer is at its lowest price ever,,https://www.cnn.com/cnn-underscored/deals/dyson-supersonic-sale-2023-04-17?iid=CNNUnderscoredHPcontainer?iid=CNNUnderscoredHPcontainer,uplifting / positive
57,"Everything you need to know about Way Day 2023, Wayfair's biggest sale of the year",,https://www.cnn.com/cnn-underscored/deals/wayfair-way-day-2023-04-17?iid=CNNUnderscoredHPcontainer,others
58,The 10 best Amazon deals to shop this week,,https://www.cnn.com/cnn-underscored/deals/best-amazon-deals-2023-04-12?iid=CNNUnderscoredHPcontainer,uplifting / positive
59,Mifepristone saved my life,"Tue, 18 Apr 2023 11:30:00 GMT",https://www.cnn.com/2023/04/18/opinions/medication-abortion-mifepristone-miscarriage-jones-ctpr/index.html,uplifting / positive
60,The 2024 presidential alternative many voters will want,,https://www.cnn.com/2023/04/18/opinions/2024-presidential-election-alternative-voters-lieberman,politics
61,Why isn't the House Judiciary Committee looking into Thomas?,"Mon, 17 Apr 2023 11:37:37 GMT",https://www.cnn.com/2023/04/17/opinions/jim-jordan-clarence-thomas-judiciary-committee-obeidallah/index.html,others
62,Top secrets come spilling out,"Sun, 16 Apr 2023 11:22:36 GMT",https://www.cnn.com/2023/04/16/opinions/top-secrets-come-spilling-out-opinion-column-galant/index.html,others
63,How did Sudan go from casting off despotic rule to this?,"Mon, 17 Apr 2023 22:45:23 GMT",https://www.cnn.com/2023/04/17/opinions/sudan-revolution-to-civil-war-lynch/index.html,others
64,Michelle Yeoh set to return in new 'Star Trek' movie,"Tue, 18 Apr 2023 19:11:23 GMT",https://www.cnn.com/2023/04/18/entertainment/michelle-yeoh-star-trek-section-31/index.html,uplifting / positive
65,Recap: 'Succession' finds dark humor in the aftershocks,"Mon, 17 Apr 2023 02:28:12 GMT",https://www.cnn.com/2023/04/16/entertainment/succession-season-4-episode-4-recap/index.html,others
66,"'Yellowjackets' leans hard into '90s music nostalgia, and we're here for it","Mon, 01 May 2023 23:02:04 GMT",https://www.cnn.com/2023/04/14/entertainment/yellowjackets-90s-music/index.html,uplifting / positive
67,Jeremy Renner revisits 'the amazing group of people' who helped him recover from his accident,"Sun, 16 Apr 2023 19:04:10 GMT",https://www.cnn.com/2023/04/16/entertainment/jeremy-renner-update/index.html,uplifting / positive
68,Review: 'Barry' takes a whack at its farewell season,"Fri, 14 Apr 2023 12:33:08 GMT",https://www.cnn.com/2023/04/14/entertainment/barry-season-4-review/index.html,others
69,Costco's gold bars are selling out fast as shoppers eye financial security,"Mon, 07 Oct 2024 22:15:00 GMT",https://qz.com/costco-gold-bars-metal-silver-platinum-retail-consumer-1851667327,others
70,FTX shareholders could get $1 billion after crypto firm is cleared to fully repay customers,"Mon, 07 Oct 2024 20:51:00 GMT",https://qz.com/ftx-shareholders-billion-seized-crypto-exchange-sbf-1851667188,politics
71,"Christine McVie’s Fleetwood Mac scrapbook, Dianne Feinstein’s books, and an iconic Marilyn Monroe portrait: this week’s auction block roundup","Mon, 07 Oct 2024 20:19:00 GMT",https://qz.com/this-week-s-auction-block-roundup-1851667217,others
72,McDonald's is suing Tyson Foods for allegedly choking the supply chain to raise prices,"Mon, 07 Oct 2024 19:56:00 GMT",https://qz.com/mcdonalds-sues-tyson-foods-jbs-cargill-beef-supply-1851667117,uplifting / positive
73,Donald Trump's plans would cut taxes on the richest 5% of America — and raise them for everyone else,"Mon, 07 Oct 2024 19:07:00 GMT",https://qz.com/donald-trump-tax-cuts-wealthiest-americans-tarrifs-1851667005,others
74,Super Micro Computer stock surges 15% on big AI demand,"Mon, 07 Oct 2024 19:05:36 GMT",https://qz.com/super-micro-computer-stock-shares-surge-ai-demand-gpu-1851667019,others
75,A hot meal on a transatlantic JetBlue flight will now cost extra,"Mon, 07 Oct 2024 18:28:00 GMT",https://qz.com/jetblue-transatlantic-hot-food-cut-1851667000,others
76,EV chargers that feel more like a gas station are coming,"Mon, 07 Oct 2024 18:21:41 GMT",https://qz.com/rove-ev-charger-gas-station-california-1851667059,natural disaster
77,Bankrupt EV startup Fisker left its abandoned headquarters in 'complete disarray',"Mon, 07 Oct 2024 18:18:10 GMT",https://qz.com/fisker-bankruptcy-evs-headquarters-lawsuit-1851667041,others
78,A Frontier Airlines flight trailed flames as it landed,"Mon, 07 Oct 2024 18:14:32 GMT",https://qz.com/frontier-airlines-flight-flames-land-las-vegas-airbus-1851667033,others
79,"A classic Hamptons home, cliffside Beverly Hills bungalow and mansion-sized Manhattan townhouse: This week’s real estate roundup","Mon, 07 Oct 2024 17:58:00 GMT",https://qz.com/most-fabulous-real-estate-listings-oct-2024-1851666947,others
80,Trump Media stock spikes 15% after Elon Musk came to a campaign rally,"Mon, 07 Oct 2024 17:46:23 GMT",https://qz.com/trump-media-djt-elon-musk-campaign-rally-butler-1851666928,others
81,Panera Bread settled a Charged Lemonade lawsuit after a student's death,"Mon, 07 Oct 2024 17:24:26 GMT",https://qz.com/panera-settles-lawsuit-death-charged-lemonade-1851666844,uplifting / positive
82,Tesla Cybertrucks are still being insured by Geico — despite claims otherwise,"Mon, 07 Oct 2024 17:20:10 GMT",https://qz.com/tesla-cybertruck-geico-insurance-evs-elon-musk-1851666695,others
83,Boeing is restarting talks to end a strike some compare to an economic Hurricane Helene,"Mon, 07 Oct 2024 17:10:00 GMT",https://qz.com/boeing-strike-negotiations-act-of-god-1851666732,others
84,Who really created Bitcoin? A new HBO documentary claims it has the answer,"Mon, 07 Oct 2024 16:40:00 GMT",https://qz.com/hbo-documentary-bitcoin-creator-satoshi-nakamoto-1851666819,others
85,Martin Shkreli can't escape his $64 million fine,"Mon, 07 Oct 2024 15:46:00 GMT",https://qz.com/supreme-court-martin-shkreli-fine-1851666753,uplifting / positive
86,Red Lobster's new CEO admits it: 'Endless Shrimp' was a disaster,"Mon, 07 Oct 2024 15:16:00 GMT",https://qz.com/red-lobster-ceo-endless-shrimp-disaster-1851666647,uplifting / positive
87,Fisker is dead. But its legal problems are very much alive,"Mon, 07 Oct 2024 14:59:48 GMT",https://qz.com/fisker-bankruptcy-sec-subpoena-legal-troubles-evs-1851666707,politics
88,"Donald Trump would balloon the federal debt by twice as much as Kamala Harris, report says","Mon, 07 Oct 2024 14:51:11 GMT",https://qz.com/donald-trump-kamala-harris-federal-debt-crfb-1851666579,others
89,"FTX token, Sui, Aptos, Popcat, and more: Cryptocurrencies to watch this week","Mon, 07 Oct 2024 14:23:00 GMT",https://qz.com/ftx-token-sui-aptos-popcat-cryptocurrencies-to-watch-1851666642,terrorism / riot /violence
90,Even Big Oil wants Donald Trump to keep Joe Biden's climate law — or at least parts of it,"Mon, 07 Oct 2024 13:33:13 GMT",https://qz.com/oil-lobby-donald-trump-joe-biden-ira-spending-evs-1851666483,politics
91,The Dow drops over 300 points as oil prices and Treasury yields rise,"Mon, 07 Oct 2024 12:50:00 GMT",https://qz.com/dow-decline-rise-oil-prices-treasury-yields-1851666522,politics
92,"Goldman Sachs says the S&P 500 could hit 6,000 this year","Mon, 07 Oct 2024 12:19:00 GMT",https://qz.com/sp-500-stock-market-economy-recession-goldman-sachsa-1851666494,others
93,Inside the slow-motion fall of Patrick Drahi,"Mon, 07 Oct 2024 10:57:36 GMT",https://qz.com/patrick-drahi-sotheby-altice-john-malone-1851665674,politics
94,Bitcoin and Ether ETFs helped take crypto mainstream. Are Solana and XRP next?,"Mon, 07 Oct 2024 09:00:00 GMT",https://qz.com/bitcoin-ether-etf-solana-xrp-sec-1851664387,others
95,The top 10 Amazon Prime Day deals under $50,"Mon, 07 Oct 2024 09:00:00 GMT",https://qz.com/best-amazon-prime-day-cheap-deals-1851665291,terrorism / riot /violence
96,Banks and fintechs need each other. Will regulators help them tie the knot?,"Mon, 07 Oct 2024 09:00:00 GMT",https://qz.com/banking-fintech-partner-regulation-financial-services-1851654024,uplifting / positive
97,"Talking about money makes people more uncomfortable than politics and religion, survey says","Mon, 07 Oct 2024 04:00:00 GMT",https://qz.com/money-talks-make-people-uncomfortable-than-politics-and-1851664338,others
98,The 15 most expensive states in America to own a car,"Sun, 06 Oct 2024 11:00:00 GMT",https://qz.com/car-ownership-costs-us-states-1851662595,others
99,"10 cheap cars actually worth buying, according to Consumer Reports","Sun, 06 Oct 2024 11:00:00 GMT",https://qz.com/best-cheap-cars-2024-consumer-reports-1851651347,uplifting / positive
100,Sunday Reads: America's electric car divide,"Sun, 06 Oct 2024 10:00:00 GMT",https://qz.com/emails/quartz-obsession/1851664833/electric-cars-evs-us-politics-banks-fintechs,uplifting / positive
101,4 billionaires getting even richer from AI,"Sun, 06 Oct 2024 09:00:00 GMT",https://qz.com/ai-billionaires-jensen-huang-mark-zuckerberg-net-worth-1851665702,others
102,"Nvidia's AI summit, Tesla's robotaxi, Amazon Prime Day, inflation: What to watch in the markets this week","Sun, 06 Oct 2024 09:00:00 GMT",https://qz.com/nvidia-ai-tesla-robotaxi-amazon-prime-day-stock-market-1851665454,politics
103,"Mark Cuban vs. Elon Musk on Trump, and Mark Zuckerberg passes Jeff Bezos: Leadership news roundup","Sat, 05 Oct 2024 13:00:00 GMT",https://qz.com/mark-cuban-elon-musk-donald-trump-zuckerberg-jeff-bezos-1851665584,others
104,"Big weddings, the most expensive watches, and the coolest cities: Lifestyle news roundup","Sat, 05 Oct 2024 13:00:00 GMT",https://qz.com/weddings-houses-watches-prices-coolest-cities-america-1851665583,others
105,"Tesla's Cybertruck win, Hertz's EV headache, Trump and Musk tout Starlink: Tech news roundup","Sat, 05 Oct 2024 13:00:00 GMT",https://qz.com/tesla-cybertruck-sales-recalls-hertz-evs-trump-musk-1851665582,others
106,"Super Micro Computer's big stock split, Costco rises, and Bitcoin falls: Markets news roundup","Sat, 05 Oct 2024 13:00:00 GMT",https://qz.com/super-micro-computer-stock-split-costco-bitcoin-price-1851665581,others
107,"Free streaming with cable, Netflix's election backlash, and AT&T turns off the TV: Business news roundup","Sat, 05 Oct 2024 13:00:00 GMT",https://qz.com/netflix-kamala-harris-att-directv-disney-gm-nissan-1851665580,others
108,Check out this huge snow train that the U.S. Army once made to conquer the Arctic,"Sat, 05 Oct 2024 11:00:00 GMT",https://qz.com/us-army-snow-train-arctic-1851665691,uplifting / positive
109,5 cable TV companies offering streaming perks to stop cord-cutting,"Sat, 05 Oct 2024 11:00:00 GMT",https://qz.com/spectrum-directv-xfinity-cable-disney-streaming-bundles-1851665392,others
110,15 cars losing the most value on the used market right now,"Sat, 05 Oct 2024 11:00:00 GMT",https://qz.com/car-depreciation-lost-value-used-market-resale-1851651319,others
111,The 10 cheapest states in America to build your dream home,"Sat, 05 Oct 2024 11:00:00 GMT",https://qz.com/home-building-costs-america-us-states-cheapest-1851660025,uplifting / positive
112,"ChatGPT's new feature, Copilot AI updates, and an AI translator: This week in new AI launches","Sat, 05 Oct 2024 09:00:00 GMT",https://qz.com/chatgpt-canvas-microsoft-copilot-deepl-ai-translator-1851665862,uplifting / positive
113,"College majors for millionaires, cable's free streaming, a Netflix backlash: The week's most popular","Sat, 05 Oct 2024 09:00:00 GMT",https://qz.com/college-majors-millionaires-netflix-hertz-ev-myths-1851665240,others
114,Stellantis is suing the UAW over a strike vote,"Fri, 04 Oct 2024 19:22:48 GMT",https://qz.com/stellantis-uaw-united-auto-workers-strike-authorization-1851665775,uplifting / positive
115,The Boeing strike just got support from a top Democratic lawmaker,"Fri, 04 Oct 2024 18:26:00 GMT",https://qz.com/boeing-strike-update-jayapal-support-1851665634,others
116,Hiring blew estimates out of the water as the economy shows continued strength,"Fri, 04 Oct 2024 18:16:00 GMT",https://qz.com/jobs-report-unemployment-interest-rate-economy-bls-fed-1851662911,uplifting / positive
117,GM had to close two of its most profitable plants because of Hurricane Helene,"Fri, 04 Oct 2024 18:13:59 GMT",https://qz.com/gm-halts-production-at-two-plants-because-of-hurricane-1851665665,uplifting / positive
118,"Kamala 2.0’s challenge? Making more news, and not just with ultra-friendly hosts","Tue, 08 Oct 2024 03:00:43 -0400",https://www.foxnews.com/politics/kamala-2-0s-challenge-making-more-news-not-just-ultra-friendly-hosts,others
119,Chicago mayor compares viewpoint of those who disagree with him about school spending to slavery,"Mon, 07 Oct 2024 22:36:37 -0400",https://www.foxnews.com/politics/chicago-mayor-compares-viewpoint-those-who-disagree-him-about-school-spending-slavery,politics
120,Harris said candidates must 'earn' voter support — despite skipping primaries before becoming Dem nominee,"Mon, 07 Oct 2024 22:16:57 -0400",https://www.foxnews.com/politics/harris-said-candidates-must-earn-voter-support-skipping-primaries-becoming-dem-nominee,others
121,Political storm: Harris says DeSantis 'selfish' for reportedly not taking her hurricane-related calls,"Mon, 07 Oct 2024 21:21:46 -0400",https://www.foxnews.com/politics/political-storm-harris-desantis-selfish-reportedly-not-taking-her-hurricane-related-calls,uplifting / positive
122,Reporter's Notebook: All about the politics of disaster relief,"Mon, 07 Oct 2024 19:07:27 -0400",https://www.foxnews.com/politics/politics-disaster-relief,others
123,"'Traitor' Liz Cheney walloped by Wyoming voters for Harris endorsement, break with GOP","Mon, 07 Oct 2024 18:42:20 -0400",https://www.foxnews.com/politics/traitor-liz-cheney-walloped-wyoming-voters-harris-endorsement-break-gop,others
124,Trump sounds alarm on illegal immigrant murderers: 'A lot of bad genes in our country',"Mon, 07 Oct 2024 18:24:56 -0400",https://www.foxnews.com/politics/trump-sounds-alarm-illegal-immigrant-murderers-bad-genes-in-country,others
125,Georgia high court restores state's 6-week 'heartbeat' abortion law,"Mon, 07 Oct 2024 17:55:40 -0400",https://www.foxnews.com/politics/georgia-high-court-restores-states-six-week-heartbeat-abortion-law,natural disaster
126,Fox News Politics: One Year Since October 7th Attacks,"Mon, 07 Oct 2024 17:11:35 -0400",https://www.foxnews.com/politics/fox-news-politics-one-year-anniversary-of-october-7th-attacks,others
127,MAGA candidate vying to flip Virginia Senate seat red stands firm on controversial military comments,"Mon, 07 Oct 2024 16:59:56 -0400",https://www.foxnews.com/politics/gop-virginia-senate-candidate-navy-veteran-hung-cao-challenges-turning-virginia-red-from-purple,others
128,"Lawsuit accuses state department, DOJ of stonewalling FOIA requests regarding climate office personnel","Mon, 07 Oct 2024 16:18:09 -0400",https://www.foxnews.com/politics/lawsuit-accuses-state-department-doj-stonewalling-foia-requests-climate-office-staff,others
129,"Kamala Harris courts disillusioned Arab Americans over Jewish groups, records show","Mon, 07 Oct 2024 15:17:12 -0400",https://www.foxnews.com/politics/kamala-harris-courts-disillusioned-arab-americans-over-jewish-groups,others
130,"Vance gives full-throated support for Israel, has choice words for Biden-Harris at Oct 7 memorial rally","Mon, 07 Oct 2024 14:31:21 -0400",https://www.foxnews.com/politics/vance-gives-full-throated-support-israel-has-choice-words-biden-harris-oct-7-memorial-rally,uplifting / positive
131,Anti-Israel agitators set up encampment outside Jewish Dem rep's home on eve of Oct 7 Hamas attack anniversary,"Mon, 07 Oct 2024 12:41:30 -0400",https://www.foxnews.com/politics/anti-israel-agitators-set-encampment-outside-jewish-dem-reps-home-eve-oct-7-hamas-attack-anniversary,others
132,Georgia GOP chair shares 2-pronged election strategy as Trump works to win back Peach State,"Mon, 07 Oct 2024 12:22:40 -0400",https://www.foxnews.com/politics/georgia-gop-chair-shares-2-pronged-election-strategy-trump-works-win-back-peach-state,others
133,Michigan Dem launches anti-EV ad in bid for Senate race after voting against a bipartisan pushback on mandates,"Mon, 07 Oct 2024 11:43:54 -0400",https://www.foxnews.com/politics/slotkin-launches-anti-ev-ad-swing-state-senate-race-after-voting-against-bipartisan-pushback-mandates,others
134,"Women for Trump, Goya team up to provide relief to Hurricane Helene victims in Georgia","Mon, 07 Oct 2024 11:32:33 -0400",https://www.foxnews.com/politics/women-trump-goya-team-up-provide-relief-hurricane-helene-victims-georgia,uplifting / positive
135,New poll shows who Hispanics are backing in southwest swing states,"Mon, 07 Oct 2024 10:57:31 -0400",https://www.foxnews.com/politics/new-poll-shows-hispanics-backing-southwest-swing-states,uplifting / positive
136,Supreme Court denies Biden administration appeal over federal emergency abortion requirement in Texas,"Mon, 07 Oct 2024 10:54:42 -0400",https://www.foxnews.com/politics/supreme-court-denies-biden-administration-appeal-over-federal-emergency-abortion-requirement-texas,politics
137,'We haven't done that much': Former Estonia head says US fears of escalation with Putin are unwarranted,"Mon, 07 Oct 2024 09:44:54 -0400",https://www.foxnews.com/politics/we-havent-done-much-former-estonia-head-says-us-fears-escalation-putin-unwarranted,others
138,Lake rips Biden-Harris 'double whammy' policies affecting Arizonans : 'Driven us over the cliff',"Mon, 07 Oct 2024 06:15:56 -0400",https://www.foxnews.com/politics/lake-rips-biden-harris-double-whammy-policies-affecting-arizonans-driven-us-over-the-cliff,terrorism / riot /violence
